year,Average maternity leave length,Average paternity leave length,Average shared leave length
1971,56.926315789473684,0.14736842105263157,5.542105263157895
1972,57.363157894736844,0.14736842105263157,5.542105263157895
1973,59.15263157894737,0.16842105263157894,5.542105263157895
1974,59.247368421052634,0.1736842105263158,5.542105263157895
1975,60.11052631578947,0.17894736842105263,6.489473684210527
1976,61.257894736842104,0.18947368421052632,6.647368421052631
1977,62.93157894736842,0.2,6.647368421052631
1978,62.93157894736842,0.2,6.647368421052631
1979,63.00526315789474,0.2736842105263158,7.2368421052631575
1980,65.81052631578947,0.2736842105263158,7.552631578947368
1981,69.94736842105263,0.3526315789473684,8.026315789473685
1982,72.87368421052632,0.3526315789473684,8.026315789473685
1983,73.37368421052632,0.3526315789473684,8.494736842105263
1984,74.40526315789474,0.35789473684210527,8.494736842105263
1985,75.88421052631578,0.3736842105263158,8.494736842105263
1986,75.72631578947369,0.4473684210526316,5.226315789473684
1987,77.46842105263158,0.4473684210526316,6.489473684210527
1988,78.16842105263157,0.4473684210526316,6.7105263157894735
1989,78.85263157894737,0.4473684210526316,7.342105263157895
1990,79.33157894736843,0.4842105263157895,8.121052631578948
1991,82.10526315789474,0.5,13.221052631578948
1992,82.46842105263158,0.4631578947368421,26.257894736842104
1993,83.4578947368421,0.4842105263157895,27.58421052631579
1994,85.22631578947369,0.5842105263157895,31.105263157894736
1995,88.40526315789474,0.6,40.415789473684214
1996,89.50526315789473,0.6,40.415789473684214
1997,89.38421052631578,0.6,45.88421052631579
1998,90.37368421052632,0.6368421052631579,44.88421052631579
1999,91.15263157894736,0.7263157894736842,44.88421052631579
2000,91.5578947368421,0.7263157894736842,46.805263157894736
2001,92.22105263157894,0.9578947368421052,55.78421052631579
2002,92.22631578947369,1.1210526315789473,61.93684210526316
2003,91.41052631578947,1.4894736842105263,62.98947368421052
2004,92.25263157894737,2,68.30526315789474
2005,95.77894736842106,2.126315789473684,66.38421052631578
2006,96.41578947368421,2.1526315789473682,66.30526315789474
2007,97.19473684210526,2.2578947368421054,69.77894736842106
2008,99.7578947368421,2.4368421052631577,66.93684210526315
2009,99.0578947368421,2.768421052631579,67.22105263157894
2010,99.38947368421053,2.9263157894736844,68.07894736842105
2011,99.97368421052632,2.963157894736842,68.00526315789473
2012,101.23684210526316,3.1578947368421053,68.44736842105263
2013,100.37368421052632,3.1578947368421053,70.23684210526316
2014,101.68947368421053,3.7526315789473683,71.38947368421053
2015,102.17894736842105,3.9,65.66315789473684
2016,101.1842105263158,4.0473684210526315,67.17368421052632
2017,101.14736842105263,4.294736842105263,67.66842105263157
2018,101.88421052631578,4.58421052631579,67.85263157894737
2019,102.63157894736842,5.005263157894737,68
2020,103.70526315789473,5.315789473684211,66.5
2021,104.88947368421053,5.989473684210527,65.3578947368421
2022,104.83157894736843,6.873684210526315,71.32631578947368
2023,101.6,7.2105263157894735,73.3
2024,102.67368421052632,8.33157894736842,73.94736842105263
